Freq,Vis_Min,Vis,Temp,AH_Min,AH_Max,AH,Dist
83500000000,15030.3227437291,15517.00048,8.910265298,4.44088575592262,5.16805199957731,4.765033149,2012.580606
83500000000,56412.3345230753,58330.39802,11.44201351,8.20405661100335,9.04047129783672,8.659938261,2959.89006
83500000000,6175.11607587235,6424.212137,0.059641451,4.6366956106543,4.70336723172154,4.639319118,4819.6798
73500000000,26872.0547439258,27645.96885,24.14034965,18.9223034698616,21.6890083488715,19.87453548,3969.679261
73500000000,16035.7609833815,17462.60013,23.09974977,16.4044551087743,18.941271277133,18.16951089,2119.587133
73500000000,74443.2687254023,75004.84011,4.978217712,4.12830258134998,4.52699619586761,4.265714371,2019.232264
73500000000,5020.09078591901,5088.135256,10.08923082,6.21209271632991,6.28078163512136,6.256370949,2583.710598
73500000000,13534.4217893496,14013.29264,0.975422486,4.47098414531207,5.16314557962016,4.757394245,4827.999784
83500000000,27806.3508145974,28322.05462,16.61619608,5.98273956324776,6.64716535540857,6.441054196,2589.061676
73500000000,26473.8468371483,27358.07722,7.873936312,6.67759987560615,7.14868822023913,6.828937353,4826.440361
83500000000,15644.9215979235,15808.36998,27.15039142,18.0001292056202,20.062675310585,19.50390676,2114.815898
83500000000,29947.5979214933,32504.57771,22.95312309,16.2383327692519,18.7227531606964,17.71778341,2959.679724
83500000000,18113.5981629423,18492.67122,29.4695594,21.69443725726,22.1943705578246,21.78713689,3967.529495
73500000000,21195.848852599,23342.60498,8.527941861,4.34140223449811,4.58748812002081,4.573096616,2012.403016
83500000000,62459.6079838324,62786.62746,8.438260372,4.07736366958322,4.51811604977487,4.244669103,4820.878696
73500000000,27196.5354329371,28451.89034,26.8739972,17.8537644215939,19.0942238907274,18.24497443,2964.261769
73500000000,19990.6435438275,21609.91568,15.83772114,7.80628036742781,9.38457611480727,8.653054524,2589.176798
73500000000,9044.35644408104,9272.975683,9.170421191,7.51098111669355,7.76409628236808,7.673889011,2585.585999
73500000000,26240.8176644659,27208.39446,26.81708168,19.5176374800409,21.9893888409539,20.75057698,3964.45164
83500000000,8479.73123861935,8663.189204,8.051000588,6.87003204121718,7.64986593849593,7.157094162,2584.226786
73500000000,27631.1663463208,29455.31989,22.93888025,15.4047652227923,16.5282151886055,15.98388118,2955.678278
83500000000,54948.5078858066,59492.175,24.3652658,14.0261758791252,14.2556610496357,14.0674753,2964.908587
83500000000,69909.5524880593,74999.57724,9.631368741,2.29605511779945,2.57262781593392,2.524678864,2021.536304
73500000000,23456.6869675005,23582.78187,26.2807264,22.5435881447629,24.3326712791089,22.68379005,3966.372214
73500000000,62726.6320738973,66183.77263,4.947350518,3.29792798886426,3.77043815885641,3.597556716,2014.867497
73500000000,35021.7890722789,35977.22286,23.21413311,17.0060516645381,19.8075275710186,18.84602975,2115.850113
73500000000,69723.2178449178,74997.00674,9.102782458,6.91934698259628,7.42558715355164,7.08141792,4820.271979
83500000000,9830.4986265925,10459.22478,-1.680976555,3.80460894208721,4.09831545142023,3.994530687,4824.744193
83500000000,72880.7601063919,74995.47372,3.955383188,3.06874270136479,3.58138664988374,3.381882936,4825.481141
73500000000,12406.7704467234,13573.95537,6.00189967,5.86014641250829,6.83131802444566,6.352968198,4821.640793
83500000000,70313.8246951158,74991.46997,21.11848703,8.50578084438055,9.2032052793749,9.080126658,2018.741397
83500000000,14252.4804209256,14290.11959,2.398806054,4.96687190140735,5.54576245995778,5.073539779,4826.864279
73500000000,6676.18342060728,6739.395506,7.929062341,7.00688983164699,8.13952227958577,7.525399308,4821.685929
83500000000,34643.1024698537,37183.66732,10.28618977,2.77619343143919,3.03114217060251,2.95258326,2016.950999
83500000000,20636.5955832228,21305.26405,-2.205222958,3.47241821683278,3.75476784216509,3.718400578,4823.910388
73500000000,33913.120091294,34009.63244,21.29138363,5.82533128663615,6.5368859171282,6.281808078,2018.459679
73500000000,67641.6098765375,74701.82251,-0.215723559,3.27436970231565,3.67631869384281,3.494358938,4821.780126
83500000000,25087.0379536566,27372.51245,11.74021683,5.47712647069023,6.18823928473416,6.069769834,2015.345664
83500000000,35932.8615134859,39105.39874,5.403142008,5.95325533738881,6.96578463405968,6.351205568,4825.499901
73500000000,63942.5793699657,68140.90257,-0.821473571,2.94054972588702,3.17423493419513,3.097953865,4823.429401
73500000000,11308.6725834203,12494.4749,29.70658735,19.7874200931271,21.6127341738499,21.25100306,3966.925189
83500000000,71104.7771554418,75004.73295,8.213104627,2.91090389101564,3.04785428647327,2.942285735,4823.375236
83500000000,35864.940701691,38869.20948,18.75613593,7.26072705900328,7.78754567198613,7.351542447,2021.234393
73500000000,32926.3375047105,35892.87348,21.12457252,14.723094421097,16.3118772522028,15.45716922,2955.157677
83500000000,57152.472120087,60550.33979,8.201942585,2.37640267263308,2.67565887371486,2.553958988,2019.514055
73500000000,43944.1466368086,48482.67974,26.02059102,17.0529258446967,19.1214136186328,18.27977712,2955.79545
73500000000,12996.7783121288,14386.59529,29.46926058,20.9156535045357,24.1385440084749,21.97871991,3962.461808
73500000000,69918.9202286803,72849.07371,5.96675117,5.43169840702509,5.89726350306155,5.813424479,4823.68697
83500000000,19063.9778099346,20042.62723,6.003968247,4.57173462963439,4.75647615999235,4.707672581,2019.303485
73500000000,70388.0504553605,75001.81887,4.303300331,5.24809239840337,5.31345416742384,5.302048056,4822.93077
73500000000,71869.0008503104,74997.96369,11.42425288,2.01161528431748,2.21047407320689,2.177339117,2018.033218
83500000000,42551.730763292,46030.10849,1.818339432,4.31827073535392,4.97398488332212,4.565479099,4826.973371
73500000000,68196.8355725299,75003.73086,18.71961521,10.2197019234735,10.6596144249386,10.64763433,2018.253175
73500000000,68409.612696581,75004.02882,2.346920551,2.22713768882167,2.38578851044277,2.2525748,2012.475941
73500000000,6624.36388039081,7293.655894,4.239293972,4.55754325351323,5.50931438674828,5.04521027,2012.132544
83500000000,1535.5814877572,1584.330388,11.9065276,8.99642229959345,10.3312132284614,9.47981387,2589.64
83500000000,4580.43227238163,5075.276634,-6.258868192,2.99446409922492,3.18628786560602,2.996257172,4825.552401
83500000000,15033.0771936054,15212.91387,11.42018788,9.31993340339014,10.2831933961376,10.09612957,2019.228755
73500000000,67614.0993727875,75000.59659,9.332633652,5.23718054906097,5.88162225204528,5.370329059,4822.838072
83500000000,43770.9917158716,45678.91967,26.24812997,17.4475052857943,19.1702116505483,18.73501253,3962.69254
73500000000,24121.7317856378,25424.99017,15.60226772,6.02236917660809,6.14180498580748,6.047170481,2014.658165
