Hour,RH,Dist,Vis_Max
4,99.8203577474961,2014.003464,59866.3196263854
6,99.0374244373752,4821.772074,1024.52186373983
8,80.0932731865015,2014.987863,6155.35004465095
19,95.0489432247861,2962.95888,43271.7867937631
5,100.0,2019.064495,1806.46187154715
6,99.6193129968246,4819.951234,769.206982912046
15,85.9607430364047,2955.372479,18.359785018443
18,98.4762533381241,2961.732542,858.191334761758
0,99.1315700867974,2012.133601,2272.92035129614
14,82.951955920393,2962.180194,27056.3508343931
15,99.0140413745027,2960.868664,440.007013869494
16,98.0249229854202,2959.646273,1035.80728558016
6,98.8767789165631,4823.3436,1721.01263134193
0,99.8547109974259,2016.749144,562.098906473682
6,99.1010250634561,4822.203753,975.675013226899
18,98.5787295998094,2962.429988,1029.07658227508
5,100.0,4827.303377,4076.27937365996
17,80.0183183024741,2959.892431,21.9626380423601
17,98.0064876699691,2119.13817,2985.1744379383
15,98.0419307431832,2959.023319,2357.43259675103
6,97.180885043828,4823.936809,705.543203024299
18,99.5628659578515,2961.68533,885.704463666296
6,98.6792216559566,2014.445564,2688.90705271822
2,100.0,4827.379665,4250.0656590989
18,99.2134815871797,2960.32374,966.341599381145
15,80.8895691917762,2958.112932,25287.3585710608
6,97.9635168992497,4819.327085,1485.96606936212
17,99.4316168821991,2961.781971,1427.49160569574
6,98.9325293666004,4825.721463,793.545367170382
6,98.1525741361531,4820.60592,833.164098685966
18,99.787121012356,2959.459525,1165.31800666772
17,81.4340781475352,2960.431996,29823.0373132157
19,98.1075552824434,2955.428309,2339.47080006263
19,95.5529406729642,2956.376014,65.1268733541291
5,99.1753528280416,2016.619702,3538.67629552221
4,96.9898479943987,4821.252664,3647.24428140267
6,100.0,4824.122515,1770.99256840517
6,99.3518198442617,2017.670836,2454.75386390801
15,83.3625247859335,2958.689352,20.2507033923205
19,94.4962829541799,2960.242984,37562.1269767153
15,84.7902936492338,2962.210023,17.8066607951909
4,98.9169062006084,4820.643999,2719.47095899323
4,99.998980960801,4818.044163,2826.08436252964
0,98.389891631573,2015.612853,3358.7340210036
15,87.5178707813035,2963.216445,598.699390537657
0,99.1180605187182,2018.561477,186.517823333389
6,98.1258018659414,4818.624298,851.510748797437
0,98.9731089899255,2018.208846,1384.45854217061
4,98.4773797058345,4823.899772,2943.84491495909
0,99.6089302504993,2017.903054,1378.71973486674
4,99.2334769853833,2014.085633,65819.0547558426
4,98.0805883331075,4825.164075,1869.72360392
6,100.0,4818.616579,1175.98845463657
5,98.4350100073469,2012.320262,4059.35411117258
15,97.5186427017771,2963.417231,1246.82615775171
6,98.8100287817067,2021.606135,2712.02618063777
6,99.7284294902391,4820.441196,767.477861488822
4,98.4610315694875,2019.737959,57644.1237276165
6,100.0,2013.550897,2203.31946726343
14,84.6225735976435,2960.60186,9753.14005059903
16,100.0,2957.067544,1361.81756490353
19,94.2778121002395,2958.552562,34414.7422261965
4,99.2210702321198,4819.112342,3379.44806170951
17,98.5173066626186,2960.902266,3175.46865140253
6,100.0,2014.814437,2773.16934472525
5,99.0387238163031,2021.711736,281.936556948915
1,99.6046357759341,4825.959944,3305.49487058313
19,99.3822288426022,2963.088858,591.888707192085
19,95.2405716332117,2964.645666,37536.1905109608
19,99.612883056495,2955.047414,912.827615500563
6,99.6088773038937,4827.074273,690.974018885432
19,94.8560572265189,2961.67481,308.300998539006
19,94.0822218377645,2958.108738,19531.9994158068
19,99.3736062673562,2960.490517,755.585312830273
16,98.0677847032709,2958.360765,751.583562067581
15,81.0738281123667,2955.19179,2463.84410722659
6,100.0,4826.23712,670.787813458402
0,99.8041575455603,2015.147645,3813.23014881953
6,99.823015750105,4824.890397,886.116607142721
19,98.2005799715109,2956.509001,991.049051342311
5,100.0,2016.74937,2500.40142822798
6,98.837960398332,4818.98197,699.271929755347
19,99.022653901729,2963.324724,1697.49949880589
18,99.1839650731029,2958.598564,1611.81637062973
19,95.8612937833329,2963.540179,24148.8185128777
5,100.0,2016.552933,4934.31480082858
5,98.2383392007627,2014.416997,4907.01134555852
4,98.8286584322995,2019.729366,60902.0543714456
5,98.260002511664,2019.805896,2992.57842608092
0,99.4977916739976,2017.421464,1551.83741554195
19,98.3666479902741,2960.707317,2319.01778180281
19,99.7223172595448,2963.586915,1715.39892185337
8,74.7967312914925,2017.601708,8574.18070519165
6,98.7727748794663,2017.193458,2170.90087910958
4,96.5503272944,4827.289403,1812.20822684341
6,99.4898347147756,2018.328533,2246.34167191725
15,82.2353148918337,2956.730392,176.906448255884
16,99.2699731432756,2964.455552,1285.73360279434
15,98.7847102690204,2957.041931,1229.72329252046
5,98.5313960519273,2018.965035,1039.23352114894
6,97.4095885485368,4824.628835,770.22563220003
17,80.4024950424663,2957.413056,29.6215811949498
8,79.9707680217648,2019.698631,10537.4244985695
4,97.462002340021,2018.65438,56022.0512974018
15,97.5858849587816,2959.104832,899.163408706084
